Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
5315000;531500;Valores representativos deuda a C/P de otras vinc.;531500;Valores representativos de deuda a corto plazo de otras partes vinculadas
5323000;532300;Créditos a C/P a empresas grupo;532300;Créditos a corto plazo a empresas del grupo
5324000;532400;Créditos a C/P a empresas asoc.;532400;Créditos a corto plazo a empresas asociadas
5325000;532500;Créditos a C/P a otras partes vinc.;532500;Créditos a corto plazo a otras partes vinculadas
5333000;533300;Intereses C/P de valores represent.deuda, grupo;533300;Intereses a corto plazo de valores representativos de deuda de empresas del grupo
5334000;533400;Intereses C/P de valores represent.deuda, asoc.;533400;Intereses a corto plazo de valores representativos de deuda de empresas asociadas
5335000;533500;Intereses C/P de valores represent.deuda, ot.vinc.;533500;Intereses a corto plazo de valores representativos de deuda de otras partes vinculadas
5343000;534300;Intereses a C/P de créditos a empresas del grupo;534300;Intereses a corto plazo de créditos a empresas del grupo
5344000;534400;Intereses a C/P de créditos a empresas asociadas;534400;Intereses a corto plazo de créditos a empresas asociadas
5345000;534500;Intereses a C/P de créditos a otras partes vinc.;534500;Intereses a corto plazo de créditos a otras partes vinculadas
5353000;535300;Dividendo a cobrar de empresas de grupo;535300;Dividendo a cobrar de inversiones financieras en empresas del grupo
5354000;535400;Dividendo a cobrar de empresas asociadas;535400;Dividendo a cobrar de inversiones financieras en empresas asociadas
5355000;535500;Dividendo a cobrar de otras partes vinculadas;535500;Dividendo a cobrar de inversiones financieras en otras partes vinculadas
5393000;539300;Desembolsos pdtes. s/participaciones C/P, grupo;539300;Desembolsos pendientes sobre participaciones a corto plazo en empresas del grupo
5394000;539400;Desembolsos pdtes.s/partic.C/P, empresas asoc.;539400;Desembolsos pendientes sobre participaciones a corto plazo en empresas asociadas
5395000;539500;Desembolsos pdtes.s/partic.C/P, otras partes vinc.;539500;Desembolsos pendientes sobre participaciones a corto plazo en otras partes vinculadas
5400000;540000;Inversiones fin.C/P en instrumentos de patrimonio;540000;Inversiones financieras a corto plazo en instrumentos de patrimonio
5410000;541000;valores representativos deuda a C/P;541000;Valores representativos de deuda a corto plazo
5420000;542000;Créditos a C/P;542000;Créditos a corto plazo
5430000;543000;Créditos a C/P por enajenación de inmovilizado;543000;Créditos a corto plazo por enajenación de inmovilizado
5440000;544000;Créditos a C/P al personal;544000;Créditos a corto plazo al personal
5450000;545000;Dividendo a cobrar;545000;Dividendo a cobrar
